date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:25	189/189	---M-Z	200	added ('OK')	text/plain	date:Wed,%2017%20May%202023%2007:47:03%20GMT	https://losantonios.com/robots.txt		(from )
14:59:26	65225/65225	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Apr%202026%2020:59:24%20GMT	https://losantonios.com/es/	F:/antonios/losantonios/losantonios.com/es/index.html	(from )
14:59:26	110147/110147	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Feb%202024%2010:00:23%20GMT	https://losantonios.com/wp-includes/css/dist/block-library/style.min.css	F:/antonios/losantonios/losantonios.com/wp-includes/css/dist/block-library/style.min.css	(from https://losantonios.com/es/)
14:59:27	396882/396882	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Jul%202021%2009:54:24%20GMT	https://losantonios.com/wp-content/themes/losantonios/style.css	F:/antonios/losantonios/losantonios.com/wp-content/themes/losantonios/style.css	(from https://losantonios.com/es/)
14:59:27	82399/82399	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224d3683df16f24c435aff85449141009e%22	https://losantonios.com/es/feed/	F:/antonios/losantonios/losantonios.com/es/feed/index.html	(from https://losantonios.com/es/)
14:59:27	781/781	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224d3683df16f24c435aff85449141009e%22	https://losantonios.com/es/comments/feed/	F:/antonios/losantonios/losantonios.com/es/comments/feed/index.html	(from https://losantonios.com/es/)
14:59:27	955/955	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202024%2010:42:56%20GMT	https://losantonios.com/wp-content/themes/losantonios-child/style.css	F:/antonios/losantonios/losantonios.com/wp-content/themes/losantonios-child/style.css	(from https://losantonios.com/es/)
14:59:28	87463/87463	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Feb%202024%2009:59:03%20GMT	https://losantonios.com/wp-content/plugins/gdpr-cookie-compliance/dist/styles/gdpr-main.css	F:/antonios/losantonios/losantonios.com/wp-content/plugins/gdpr-cookie-compliance/dist/styles/gdpr-main.css	(from https://losantonios.com/es/)
14:59:28	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Feb%202024%2010:00:22%20GMT	https://losantonios.com/wp-includes/js/jquery/jquery.min.js	F:/antonios/losantonios/losantonios.com/wp-includes/js/jquery/jquery.min.js	(from https://losantonios.com/es/)
14:59:28	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Feb%202024%2010:00:22%20GMT	https://losantonios.com/wp-includes/js/jquery/jquery-migrate.min.js	F:/antonios/losantonios/losantonios.com/wp-includes/js/jquery/jquery-migrate.min.js	(from https://losantonios.com/es/)
